Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Month,Day
27.607692307692307,0.9692307692307692,264.38461538461536,130.30769230769232,363.0769230769231,24.838461538461537,24.923076923076923,996.4461538461538,43.53846153846154,2.3846153846153846,1,1
27.753846153846155,0.0,264.15384615384613,131.92307692307693,363.0769230769231,22.799999999999997,24.384615384615383,996.3692307692307,84.61538461538461,2.323076923076923,1,2
27.33076923076923,0.0,238.92307692307693,228.6153846153846,404.7692307692308,21.838461538461537,27.46153846153846,995.376923076923,85.23076923076923,1.5923076923076922,1,3
27.946153846153848,0.1076923076923077,242.76923076923077,229.46153846153845,406.38461538461536,22.338461538461537,37.76923076923077,994.6846153846153,73.92307692307692,1.7153846153846155,1,4
28.692307692307693,0.0,211.69230769230768,311.6923076923077,435.46153846153845,21.95384615384615,28.76923076923077,994.0384615384615,77.53846153846153,2.161538461538462,1,5
28.707692307692305,0.04615384615384615,234.3846153846154,245.3846153846154,410.7692307692308,20.915384615384614,32.0,994.5615384615384,25.384615384615383,1.9461538461538461,1,6
28.653846153846153,0.2692307692307692,276.2307692307692,89.61538461538461,346.7692307692308,21.107692307692307,27.46153846153846,994.0461538461539,68.53846153846153,1.7538461538461538,1,7
28.623076923076926,0.26153846153846155,263.9230769230769,147.84615384615384,372.6923076923077,22.692307692307693,34.84615384615385,993.4153846153846,19.692307692307693,2.3153846153846156,1,8
28.984615384615385,0.0,275.53846153846155,113.84615384615384,359.84615384615387,21.184615384615384,24.76923076923077,993.2230769230769,33.61538461538461,1.7153846153846155,1,9
29.06153846153846,0.06923076923076922,239.0,246.76923076923077,418.0,18.13076923076923,24.23076923076923,993.7846153846154,39.92307692307692,2.1923076923076925,1,10
28.930769230769233,0.10769230769230768,284.7692307692308,113.38461538461539,364.0769230769231,19.453846153846154,35.30769230769231,993.8461538461538,38.30769230769231,1.6076923076923075,1,11
29.023076923076925,0.0,216.30769230769232,322.7692307692308,446.9230769230769,15.276923076923076,21.46153846153846,994.3,33.23076923076923,3.661538461538462,1,12
27.815384615384616,0.0,252.92307692307693,199.3846153846154,401.38461538461536,16.123076923076923,19.153846153846153,994.7769230769231,34.38461538461539,3.4384615384615387,1,13
27.63076923076923,0.0,258.38461538461536,179.07692307692307,393.0,18.2,21.615384615384617,994.4153846153846,29.153846153846153,3.1846153846153844,1,14
29.0,0.0,251.6153846153846,211.0,405.9230769230769,20.569230769230767,23.153846153846153,993.1076923076923,55.38461538461539,2.323076923076923,1,15
29.284615384615385,0.37692307692307686,246.76923076923077,217.69230769230768,409.0,22.45384615384615,24.23076923076923,993.2923076923076,57.15384615384615,2.5999999999999996,1,16
29.646153846153844,0.8076923076923077,236.92307692307693,261.53846153846155,425.61538461538464,22.676923076923078,20.76923076923077,993.6000000000001,30.46153846153846,3.661538461538462,1,17
30.115384615384617,0.0,224.15384615384616,299.6923076923077,438.9230769230769,22.33076923076923,22.076923076923077,994.1153846153846,64.3076923076923,2.3846153846153846,1,18
28.607692307692307,0.0,215.30769230769232,327.38461538461536,449.46153846153845,21.54615384615385,37.92307692307692,994.623076923077,129.0,1.1923076923076923,1,19
29.00769230769231,0.0,239.92307692307693,245.46153846153845,421.38461538461536,21.77692307692308,30.0,993.7076923076924,159.92307692307693,1.5153846153846153,1,20
29.800000000000004,0.0,235.92307692307693,267.53846153846155,432.7692307692308,21.253846153846155,28.384615384615383,992.7230769230769,67.92307692307692,2.223076923076923,1,21
29.707692307692305,0.0,260.61538461538464,182.07692307692307,398.15384615384613,25.115384615384617,41.0,993.1461538461538,246.76923076923077,1.1538461538461537,1,22
30.323076923076922,1.9692307692307693,280.15384615384613,95.15384615384616,356.3076923076923,34.892307692307696,52.76923076923077,994.8846153846154,231.3846153846154,0.9923076923076923,1,23
30.453846153846158,0.6615384615384615,270.2307692307692,164.84615384615384,389.38461538461536,33.61538461538461,56.15384615384615,995.2076923076924,238.6153846153846,1.2,1,24
30.784615384615385,2.207692307692308,288.2307692307692,99.84615384615384,361.0769230769231,37.45384615384615,55.07692307692308,993.8153846153847,237.69230769230768,1.4307692307692308,1,25
30.56153846153846,2.0153846153846153,242.07692307692307,254.46153846153845,427.6923076923077,40.24615384615385,58.46153846153846,993.1384615384615,225.3846153846154,1.2999999999999998,1,26
30.392307692307693,1.9307692307692308,230.30769230769232,296.46153846153845,442.6923076923077,37.06153846153846,60.30769230769231,993.1692307692308,159.76923076923077,1.2461538461538462,1,27
30.661538461538463,6.484615384615385,271.9230769230769,203.3846153846154,415.84615384615387,35.65384615384615,58.84615384615385,994.6923076923077,239.6153846153846,1.4076923076923078,1,28
31.115384615384617,5.2153846153846155,290.53846153846155,153.3846153846154,399.84615384615387,34.40769230769231,53.38461538461539,993.4615384615385,264.84615384615387,1.1076923076923078,1,29
30.53846153846154,19.06153846153846,325.84615384615387,14.0,337.53846153846155,41.48461538461538,61.15384615384615,992.9923076923077,280.84615384615387,1.2,1,30
31.784615384615385,6.869230769230769,255.69230769230768,213.76923076923077,424.3076923076923,26.053846153846152,49.30769230769231,993.1692307692308,75.38461538461539,1.0769230769230769,1,31
30.946153846153848,2.269230769230769,254.92307692307693,233.07692307692307,430.84615384615387,23.861538461538462,50.92307692307692,994.4615384615385,301.46153846153845,0.8769230769230769,2,1
31.092307692307692,3.123076923076923,239.84615384615384,280.0,448.46153846153845,25.246153846153845,52.15384615384615,994.0769230769231,220.92307692307693,1.1076923076923078,2,2
